# Take GHG emissions for the energy system, filter to include only resources
# in model base years, and rename to regional SO2
region,resource,subresource,technology,year,Non.CO2,emiss.coef,emiss.units
USA,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
USA,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
USA,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
USA,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
USA,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
USA,crude oil,unconventional oil,unconventional oil,2021,CH4,0.0882,Tg
USA,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.08719090909,MTC
USA,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.08719090909,MTC
USA,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.08719090909,MTC
USA,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.08719090909,MTC
USA,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.08719090909,MTC
USA,crude oil,unconventional oil,unconventional oil,2021,CO2_FUG,0.08719090909,MTC
USA,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
USA,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
USA,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
USA,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
USA,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
USA,crude oil,unconventional oil,unconventional oil,2021,N2O,9.39e-07,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2021,CH4,0.0882,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.08719090909,MTC
Africa_Eastern,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.08719090909,MTC
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.08719090909,MTC
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.08719090909,MTC
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.08719090909,MTC
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2021,CO2_FUG,0.08719090909,MTC
Africa_Eastern,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Africa_Eastern,crude oil,unconventional oil,unconventional oil,2021,N2O,9.39e-07,Tg
Africa_Northern,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Africa_Northern,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Africa_Northern,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Africa_Northern,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Africa_Northern,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Africa_Northern,crude oil,unconventional oil,unconventional oil,2021,CH4,0.0882,Tg
Africa_Northern,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.08719090909,MTC
Africa_Northern,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.08719090909,MTC
Africa_Northern,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.08719090909,MTC
Africa_Northern,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.08719090909,MTC
Africa_Northern,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.08719090909,MTC
Africa_Northern,crude oil,unconventional oil,unconventional oil,2021,CO2_FUG,0.08719090909,MTC
Africa_Northern,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Africa_Northern,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Africa_Northern,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Africa_Northern,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
